adj,noun,article,group
yellow,card,a,3
stormy,day,a,4
green,telephone,a,5
green,shoe,a,6
bright,moonlight,NA,7
red,bridge,a,8
giant,cat,a,9
hot,oven,an,10
yellow,cupcake,a,11
hot,tea,NA,12
slippery,leg,a,13
pink,ear,an,14
giant,book,a,15
green,sock,a,16
red,pillow,a,17
flat,cup,a,18
wooden,hand,a,19
red,grain,NA,20
light,guy,a,1
naked,phone,a,2
wooden,spoon,a,3
orange,leg,a,4
rubber,duck,a,5
blonde,lady,a,6
orange,handle,a,7
brown,light,a,8
underground,stream,a,9
dark,cave,a,10
yellow,ring,a,11
furry,kiss,a,12
green,cheese,NA,13
green,leave,a,14
yellow,head,a,15
brown,dot,a,16
thick,worm,a,17
red,panda,a,18
green,field,a,19
denim,jacket,a,20
green,candle,a,1
yellow,arrow,an,2
flat,tree,a,3
adult,game,a,4
colored,glue,NA,5
purple,basket,a,6
yellow,parrot,a,7
pink,eye,an,8
red,goldfish,a,9
purple,snail,a,10
green,pot,a,11
hot,cereal,NA,12
pink,card,a,13
pink,sandal,a,14
soapy,day,a,15
slippery,soap,NA,16
brown,monkey,a,17
dark,basement,a,18
wet,hand,a,19
yellow,cow,a,20
furry,fur,NA,1
fuzzy,ear,an,2
dark,horse,a,3
red,chicken,a,4
fat,spider,a,5
red,lunch,a,6
red,swing,a,7
hot,plastic,NA,8
orange,frosting,NA,9
red,chip,a,10
purple,tree,a,11
red,branch,a,12
red,blood,NA,13
watery,eye,an,14
green,lawn,a,15
brown,milk,NA,16
yellow,feather,a,17
purple,stage,a,18
flat,book,a,19
green,sun,a,20
round,gift,a,1
square,eye,an,2
brown,belt,a,3
dirty,boy,a,4
dark,bear,a,5
giant,lid,a,6
dark,rock,a,7
rocky,truck,a,8
green,stroller,a,9
purple,train,a,10
orange,guy,a,11
yellow,wagon,a,12
flat,stitch,a,13
wet,crust,NA,14
wet,battery,a,15
blond,horse,a,16
plastic,taste,a,17
fuzzy,hair,a,18
hot,peach,a,19
brown,path,a,20
dark,hen,a,1
pink,soap,NA,2
yellow,bin,a,3
pink,spoon,a,4
purple,dot,a,5
round,roll,a,6
sweet,cocoa,NA,7
thick,sandwich,a,8
orange,triangle,a,9
red,lobster,a,10
yellow,boy,a,11
purple,hand,a,12
gold,tree,a,13
round,glass,NA,14
red,hexagon,a,15
dirty,wash,a,16
hot,bean,a,17
dirty,table,a,18
green,gum,a,19
soapy,milk,NA,20
buttered,toast,NA,1
starry,night,a,2
purple,scissor,a,3
red,potato,a,4
dark,tunnel,a,5
brown,aspen,an,6
wooden,floor,a,7
red,arm,an,8
yellow,pie,a,9
green,stripe,a,10
light,night,a,11
yellow,shell,a,12
brown,penny,a,13
cloudy,day,a,14
bright,night,a,15
red,wood,NA,16
purple,ear,an,17
red,bin,a,18
slippery,curtain,a,19
red,wagon,a,20
yellow,banana,a,1
purple,footprint,a,2
pink,tummy,a,3
ivory,cow,a,4
silver,grey,NA,5
purple,onion,an,6
green,leaf,a,7
grey,mouse,a,8
light,color,a,9
purple,wind,a,10
red,circle,a,11
green,eye,an,12
sweaty,sock,a,13
hot,slide,a,14
dirty,cup,a,15
silver,hat,a,16
fuzzy,bed,a,17
yellow,tail,a,18
orange,hand,a,19
red,boy,a,20
red,pancake,a,1
wet,rug,a,2
brown,cat,a,3
red,drink,a,4
orange,suit,a,5
yellow,blanket,a,6
yellow,ball,a,7
brown,ant,an,8
giant,truck,a,9
red,suit,a,10
orange,plate,a,11
silver,nose,a,12
purple,raindrop,a,13
red,bus,a,14
orange,square,a,15
green,frog,a,16
orange,bead,a,17
green,oatmeal,NA,18
red,dot,a,19
yellow,horn,a,20
purple,top,a,1
purple,card,a,2
orange,baby,a,3
yellow,guy,a,4
hot,tree,a,5
red,mat,a,6
red,pea,a,7
light,jacket,a,8
blind,mommy,a,9
tan,car,a,10
yellow,butterfly,a,11
orange,tricycle,a,12
yellow,star,a,13
pink,princess,a,14
downtown,street,a,15
hot,dough,NA,16
red,box,a,17
brown,bird,a,18
pink,tulip,a,19
red,nest,a,20
light,truck,a,1
green,sandal,a,2
teal,color,a,3
pink,triangle,a,4
dirty,hose,a,5
round,page,a,6
wet,suit,a,7
rocky,rock,a,8
light,movie,a,9
brown,duck,a,10
hardboiled,egg,an,11
gold,map,a,12
purple,paint,NA,13
silver,bell,a,14
orange,ark,an,15
wooden,book,a,16
green,sheep,a,17
brown,sheep,a,18
dirty,banana,a,19
red,jam,NA,20
wooden,hammer,a,1
green,balloon,a,2
brown,beard,a,3
wet,chest,a,4
fuzzy,tail,a,5
purple,paper,a,6
green,parachute,a,7
bright,paper,a,8
pink,circle,a,9
red,clock,a,10
dirty,crayon,a,11
yellow,lizard,a,12
green,tooth,a,13
yellow,truck,a,14
red,honey,NA,15
dark,couple,a,16
orange,color,a,17
wet,lady,a,18
green,candy,NA,19
hot,oil,NA,20
green,hoop,a,1
chief,dog,a,2
red,hat,a,3
red,onion,an,4
pink,peach,a,5
dirty,diaper,a,6
blond,guy,a,7
silver,car,a,8
orange,kitty,a,9
red,seat,a,10
brown,circle,a,11
pink,floor,a,12
pink,paint,NA,13
crispy,bagel,a,14
light,floor,a,15
pink,dragon,a,16
giant,shoe,a,17
yellow,bag,a,18
oval,picture,a,19
purple,pentagon,a,20
red,bag,a,1
hot,circle,a,2
wet,rain,NA,3
red,table,a,4
colored,light,a,5
naked,foot,a,6
green,cat,a,7
sunny,cloud,a,8
orange,flag,a,9
dark,letter,a,10
yellow,horse,a,11
hot,fan,a,12
dirty,park,a,13
red,flag,a,14
orange,key,a,15
hot,pool,a,16
giant,building,a,17
muddy,ground,NA,18
red,butterfly,a,19
red,pot,a,20
green,train,a,1
fat,bacon,NA,2
green,tie,a,3
red,bone,a,4
yellow,queen,a,5
red,cap,a,6
hot,cactus,a,7
sunny,road,a,8
raspberry,yogurt,NA,9
green,finger,a,10
red,nose,a,11
pink,boat,a,12
green,ball,a,13
blonde,guy,a,14
red,mark,a,15
rainy,day,a,16
giant,kitty,a,17
orange,dog,a,18
brown,leaf,a,19
sweet,girl,a,20
purple,frog,a,1
bright,site,a,2
yellow,diamond,a,3
purple,turtle,a,4
sweet,peach,a,5
purple,garage,a,6
pink,purse,a,7
fuzzy,light,a,8
bright,fruit,NA,9
orange,carrot,a,10
yellow,piece,a,11
orange,tea,NA,12
yellow,cement,NA,13
silver,rocket,a,14
giant,piece,a,15
fuzzy,bear,a,16
red,head,a,17
green,pipe,a,18
red,wheel,a,19
green,swing,a,20
giant,bean,a,1
dirty,toe,a,2
yellow,rain,NA,3
grey,piece,a,4
yellow,bread,NA,5
thick,brush,a,6
sunburned,head,a,7
green,baby,a,8
purple,king,a,9
hot,marshmallow,a,10
orange,kitten,a,11
dead,bug,a,12
flat,surface,a,13
brown,spot,a,14
purple,nose,a,15
wet,car,a,16
dead,wife,a,17
sweet,home,a,18
wet,book,a,19
dirty,town,a,20
grey,snow,NA,1
yellow,leaf,a,2
chalky,hand,a,3
wet,kiss,a,4
hot,meatball,a,5
brown,hall,a,6
yellow,fish,a,7
wet,rake,a,8
hot,celery,a,9
rose,bush,a,10
giant,town,a,11
colored,box,a,12
red,grocery,a,13
fat,foot,a,14
plastic,table,a,15
brown,floor,a,16
purple,block,a,17
thick,cheese,NA,18
dirty,swing,a,19
hot,ground,NA,20
green,blanket,a,1
outside,baby,a,2
dirty,sand,NA,3
green,horse,a,4
red,couch,a,5
green,truck,a,6
silver,ring,a,7
yellow,dinosaur,a,8
red,hamster,a,9
dead,flower,a,10
wet,ride,a,11
brown,mountain,a,12
muddy,grass,NA,13
orange,shovel,a,14
yellow,mountain,a,15
fat,pig,a,16
pink,mouth,a,17
green,crayon,a,18
hot,strawberry,a,19
flat,board,a,20
brown,hair,a,1
brown,hip,a,2
purple,letter,a,3
pink,board,a,4
grassy,field,a,5
yellow,arm,an,6
yellow,block,a,7
flat,ear,an,8
hot,rice,NA,9
dirty,hair,a,10
green,noodle,a,11
orange,dot,a,12
yellow,wheel,a,13
wooden,popsicle,a,14
military,person,a,15
pink,cast,a,16
flat,table,a,17
pink,frog,a,18
yellow,box,a,19
hot,body,a,20
slippery,table,a,1
giant,caterpillar,a,2
slippery,grass,NA,3
wooden,fireman,a,4
yellow,bed,a,5
brown,beach,a,6
wet,slide,a,7
green,bead,a,8
green,cake,a,9
dark,smoke,NA,10
pink,chocolate,NA,11
purple,ark,an,12
red,ant,an,13
red,map,a,14
teal,wedding,a,15
yellow,chalk,NA,16
red,border,a,17
fuzzy,home,a,18
juicy,pineapple,a,19
orange,truck,a,20
red,knight,a,1
female,crab,a,2
furry,gorilla,a,3
yellow,gate,a,4
thick,head,a,5
pink,cheek,a,6
gold,guy,a,7
wet,duck,a,8
pink,flamingo,a,9
purple,button,a,10
brown,fur,NA,11
hot,pickle,a,12
hairy,spider,a,13
purple,spider,a,14
giant,boy,a,15
dirty,hamper,a,16
rubber,foot,a,17
grey,color,a,18
wet,glue,NA,19
red,robin,a,20
thick,chocolate,NA,1
yellow,sand,NA,2
thick,camel,a,3
green,page,a,4
pink,turtle,a,5
green,plant,a,6
wet,leaf,a,7
pink,piece,a,8
dark,pig,a,9
hot,ice,NA,10
slippery,shower,a,11
dark,hair,a,12
dead,fly,a,13
silver,penny,a,14
wet,top,a,15
icy,mountain,a,16
red,counter,a,17
red,parrot,a,18
red,guy,a,19
purple,square,a,20
red,whale,a,1
light,crayon,a,2
green,vegetable,a,3
furry,duck,a,4
orange,food,NA,5
spiky,tail,a,6
hot,lunch,a,7
green,pillow,a,8
yellow,chicken,a,9
pink,rabbit,a,10
limp,sand,NA,11
round,hat,a,12
hot,beer,a,13
slippery,hand,a,14
giant,mess,a,15
giant,food,NA,16
red,juice,NA,17
red,fence,a,18
dirty,finger,a,19
hairy,arm,an,20
green,cinnamon,NA,1
purple,juice,NA,2
furry,bear,a,3
purple,plant,a,4
red,duck,a,5
wet,curtain,a,6
wet,finger,a,7
dark,leg,a,8
sweet,marshmallow,a,9
round,bird,a,10
dirty,car,a,11
silver,bean,a,12
wet,pee,NA,13
dirty,suit,a,14
dead,wire,a,15
hot,water,NA,16
purple,horn,a,17
wet,bird,a,18
pink,head,a,19
red,girl,a,20
hot,person,a,1
pink,bubble,a,2
yellow,sky,a,3
red,machine,a,4
hot,tent,a,5
hot,coffee,NA,6
yellow,boot,a,7
brown,table,a,8
yellow,hose,a,9
brown,tail,a,10
moist,bedding,NA,11
bright,window,a,12
purple,girl,a,13
red,train,a,14
red,leave,a,15
giant,clay,NA,16
orange,ball,a,17
green,fire,a,18
orange,flower,a,19
stationary,bike,a,20
orange,banana,a,1
yellow,bowl,a,2
dirty,mouse,a,3
pink,square,a,4
yellow,moon,a,5
red,strawberry,a,6
round,beetle,a,7
green,boat,a,8
wet,diaper,a,9
yellow,nose,a,10
pink,scooter,a,11
plastic,bear,a,12
orange,bucket,a,13
red,track,a,14
bright,tomato,a,15
green,shirt,a,16
sweet,potato,a,17
yellow,mustache,a,18
grey,label,a,19
orange,bowl,a,20
giant,puzzle,a,1
dirty,mama,a,2
dirty,plate,a,3
wet,chimney,a,4
hot,guy,a,5
pink,cart,a,6
furry,arm,an,7
brown,mud,NA,8
upstairs,snack,a,9
yellow,dot,a,10
green,dish,a,11
purple,chalk,NA,12
slim,tunnel,a,13
sunny,walk,a,14
green,popsicle,a,15
silky,body,a,16
slippery,honey,NA,17
green,moon,a,18
round,egg,an,19
wet,barrette,a,20
red,lip,a,1
silky,blanket,a,2
soapy,floor,a,3
thick,branch,a,4
sandy,pocket,a,5
wooden,leg,a,6
purple,bear,a,7
purple,dinosaur,a,8
orange,bag,a,9
brown,closet,a,10
giant,movie,a,11
rubber,chicken,a,12
red,bite,a,13
grey,hair,a,14
olive,oil,NA,15
blind,mom,a,16
orange,pear,a,17
concrete,feather,a,18
purple,pillow,a,19
dirty,straw,a,20
hot,towel,a,1
cloudy,window,a,2
green,snake,a,3
red,frog,a,4
yellow,bee,a,5
orange,table,a,6
blond,hair,a,7
dead,worm,a,8
purple,finger,a,9
naked,doll,a,10
giant,potato,a,11
oval,egg,an,12
colored,pencil,a,13
green,earth,NA,14
red,lego,a,15
green,dot,a,16
red,butt,a,17
hot,bike,a,18
green,bean,a,19
orange,cereal,NA,20
green,button,a,1
red,handle,a,2
green,picture,a,3
plastic,lunch,a,4
rusty,garage,a,5
flat,pad,a,6
thick,mud,NA,7
giant,baby,a,8
green,card,a,9
red,tree,a,10
sandy,apricot,an,11
sandy,sheep,a,12
back,stair,a,13
green,park,a,14
dirty,blanket,a,15
yellow,knight,a,16
purple,shirt,a,17
plastic,bottle,a,18
round,moon,a,19
red,cookie,a,20
red,telephone,a,1
rubber,band,a,2
dirty,dish,a,3
wooden,animal,an,4
dirty,sleeve,a,5
green,grape,a,6
hot,cup,a,7
wooden,coat,a,8
orange,grape,a,9
purple,book,a,10
hot,shirt,a,11
slippery,bug,a,12
crispy,piece,a,13
red,yoyo,a,14
pink,door,a,15
red,bird,a,16
purple,cat,a,17
green,stool,a,18
thick,leave,a,19
hot,window,a,20
green,bus,a,1
yellow,shelf,a,2
dark,color,a,3
dirty,leave,a,4
dark,board,a,5
purple,house,a,6
purple,gas,NA,7
upstairs,coffee,NA,8
brown,chair,a,9
gold,coin,a,10
hot,chicken,NA,11
pink,car,a,12
brown,strawberry,a,13
brown,mustache,a,14
dirty,dump,a,15
fat,finger,a,16
dirty,hand,a,17
pink,window,a,18
dark,eye,an,19
hot,toast,NA,20
gold,sky,a,1
fruit,strawberry,a,2
pink,rose,a,3
orange,dish,a,4
purple,trunk,a,5
yellow,pen,a,6
red,roof,a,7
brown,dog,a,8
yellow,milk,NA,9
red,blanket,a,10
dirty,dirt,NA,11
green,boot,a,12
dark,sky,a,13
giant,eye,an,14
hot,glue,NA,15
red,worm,a,16
purple,necklace,a,17
orange,person,a,18
fat,roll,a,19
red,flour,NA,20
green,light,a,1
yellow,hippo,a,2
purple,worm,a,3
orange,shirt,a,4
silver,cone,a,5
brown,hill,a,6
red,string,a,7
bottom,drawer,a,8
yellow,house,a,9
pink,towel,a,10
giant,bubble,a,11
green,guy,a,12
curly,string,a,13
wooden,chair,a,14
purple,bath,a,15
pink,shirt,a,16
red,finger,a,17
green,camera,a,18
grey,shirt,a,19
red,apple,an,20
upstairs,bed,a,1
red,person,a,2
green,turtle,a,3
orange,lip,a,4
pink,dot,a,5
green,cookie,a,6
green,broccoli,NA,7
purple,spaghetti,NA,8
hot,pizza,a,9
thick,cub,a,10
yellow,barrel,a,11
dirty,girl,a,12
buttered,broccoli,NA,13
purple,lollipop,a,14
hot,frog,a,15
pink,cookie,a,16
bearded,son,a,17
salty,chip,a,18
red,grape,a,19
pink,sticker,a,20
orange,pepper,a,1
dead,plant,a,2
wet,head,a,3
bright,eye,an,4
fuzzy,slipper,a,5
yellow,cat,a,6
purple,ground,NA,7
red,pin,a,8
giant,lip,a,9
yellow,beetle,a,10
muddy,shoe,a,11
purple,suit,a,12
orange,wall,a,13
red,oval,an,14
thick,paper,a,15
yellow,door,a,16
orange,body,a,17
red,ear,an,18
orange,cookie,a,19
red,bush,a,20
orange,plant,a,1
plastic,sock,a,2
purple,boot,a,3
green,kitty,a,4
green,bath,a,5
red,sauce,NA,6
green,fall,a,7
orange,girl,a,8
brown,leave,a,9
purple,robe,a,10
purple,handle,a,11
red,candy,NA,12
giant,pillow,a,13
yellow,towel,a,14
gold,orange,an,15
fat,hen,a,16
pink,feather,a,17
yellow,shirt,a,18
red,fire,a,19
orange,screw,a,20
red,wrapper,a,1
brown,fish,a,2
thick,air,NA,3
yellow,tooth,a,4
hot,cream,NA,5
square,diamond,a,6
purple,dolphin,a,7
wooden,track,a,8
fat,body,a,9
hot,powder,a,10
red,bat,a,11
giant,leopard,a,12
round,corner,a,13
wooden,guy,a,14
dirty,mouth,a,15
pink,bowl,a,16
hot,table,a,17
dark,kitchen,a,18
wet,game,a,19
back,garden,a,20
dark,window,a,1
green,egg,an,2
wet,dress,a,3
dead,bird,a,4
giant,head,a,5
green,snow,NA,6
thick,paint,NA,7
buttered,pizza,a,8
pink,nail,a,9
dirty,costume,a,10
yellow,finger,a,11
orange,sunshine,NA,12
pink,bunny,a,13
yellow,dress,a,14
green,table,a,15
wet,house,a,16
curly,boy,a,17
salty,sweet,a,18
wet,bear,a,19
red,tongue,a,20
brown,hand,a,1
orange,slice,a,2
pink,book,a,3
dirty,milk,NA,4
slippery,shoe,a,5
wet,window,a,6
pink,color,a,7
square,game,a,8
curly,hair,a,9
dirty,bubble,a,10
furry,tummy,a,11
light,ball,a,12
wet,dirt,NA,13
rusty,bucket,a,14
brown,trunk,a,15
brown,sofa,a,16
pink,lemonade,NA,17
brown,tree,a,18
green,sunshine,NA,19
dark,wood,NA,20
green,deck,a,1
muddy,wheel,a,2
bright,mercury,NA,3
red,chair,a,4
red,brick,a,5
pink,phone,a,6
red,gate,a,7
red,bed,a,8
orange,car,a,9
gold,star,a,10
brown,ear,an,11
green,mud,NA,12
purple,sand,NA,13
hot,swing,a,14
hot,pear,a,15
red,coral,NA,16
hot,sky,a,17
yellow,van,a,18
yellow,crayon,a,19
dark,ball,a,20
wooden,stick,a,1
orange,frog,a,2
fuzzy,peach,a,3
oval,circle,a,4
wet,cup,a,5
fuzzy,flower,a,6
bearded,person,a,7
yellow,cross,a,8
purple,stair,a,9
green,wagon,a,10
pink,pony,a,11
red,bucket,a,12
hot,milk,NA,13
pajamas,jeans,NA,14
pink,octopus,an,15
green,mark,a,16
grey,paper,a,17
red,clown,a,18
hot,food,NA,19
red,railing,a,20
yellow,button,a,1
grey,tree,a,2
red,queen,a,3
hot,neck,a,4
hot,pepper,a,5
brown,suit,a,6
bright,stick,a,7
buttered,pan,a,8
purple,elephant,an,9
green,duck,a,10
green,scissor,a,11
pink,tea,NA,12
green,elephant,an,13
yellow,tree,a,14
velvety,horse,a,15
yellow,bead,a,16
purple,circle,a,17
fat,bread,NA,18
hot,butter,a,19
dead,car,a,20
